측정동,측정일자,일_평균값,측정항목,단위
수창동,20180303,67,미세먼지,㎍/㎥
지산동,20180303,0,미세먼지,㎍/㎥
서호동,20180303,53,미세먼지,㎍/㎥
이현동,20180303,69,미세먼지,㎍/㎥
대명동,20180303,63,미세먼지,㎍/㎥
노원동,20180303,66,미세먼지,㎍/㎥
신암동,20180303,53,미세먼지,㎍/㎥
태전동,20180303,57,미세먼지,㎍/㎥
만촌동,20180303,58,미세먼지,㎍/㎥
호림동,20180303,43,미세먼지,㎍/㎥
현풍읍,20180303,36,미세먼지,㎍/㎥
시지동,20180303,0,미세먼지,㎍/㎥
진천동,20180303,0,미세먼지,㎍/㎥
평리동,20180303,74,미세먼지,㎍/㎥
이곡동,20180303,63,미세먼지,㎍/㎥
